ars_price_day,p_host_response_rate,n_accommodates,n_bathrooms,n_review_scores_rating,n_number_of_reviews,n_reviews_per_month,n_minimum_nights,n_beds,n_days_since,d_free_parking,d_cloth_storage,d_sound_system,d_children,d_barbecue,d_cooking,d_amendities,d_ac,d_baby_utilities,d_bath,d_location,d_bike,d_security,d_mandatory_cleaning,d_coffee_maker,d_fridge,d_office,d_laundry,d_wifi,d_eletric_car_charger,d_videogame,d_garden_balcony_backyard,d_luggage_storage,d_paid_parking,d_pets,d_swimming_pool,d_self_checkin,d_sauna,d_smoking,d_instant_bookable,f_neighbourhood_cleansed,f_property_type,price,id,ln_price,n_accommodates2,ln_accommodates,ln_accommodates2,ln_beds,f_bathroom,ln_number_of_reviews,f_number_of_reviews,ln_days_since,ln_days_since2,ln_days_since3,n_days_since2,n_days_since3,ln_review_scores_rating,ln_n_minimum_nights,f_minimum_nights,ln_n_reviews_per_month
2249,75,2,1,81,15,0.14,2,2,3303,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,San Telmo,Entire apartment,"$2,249.00",78005,7.718240951959316,4,0.6931471805599453,0.4804530139182014,0.6931471805599453,1,2.772588722239781,1,8.10258642539079,65.65190678092709,531.9502486841615,10909809,36035099127,4.394449154672439,0.6931471805599453,2,-1.9661128563728327
2915,75,4,1,90,42,0.35,2,1,3572,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,San Telmo,Entire apartment,"$2,915.00",78009,7.977625098784593,16,1.3862943611198906,1.9218120556728056,0,1,3.7612001156935624,1,8.18088094199639,66.92681298711975,547.5202888748845,12759184,45575805248,4.499809670330265,0.6931471805599453,2,-1.0498221244986778
2582,83,2,1,92,19,0.16,3,2,3553,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,Palermo,Entire apartment,"$2,582.00",78068,7.856319571406588,4,0.6931471805599453,0.4804530139182014,0.6931471805599453,1,2.995732273553991,1,8.175547596021026,66.83957849480518,546.4501552822632,12623809,44852393377,4.5217885770490405,1.0986122886681098,3,-1.8325814637483102
1749,83,2,1,96,38,0.33,2,1,3487,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,Palermo,Entire apartment,"$1,749.00",78685,7.466799475018602,4,0.6931471805599453,0.4804530139182014,0,1,3.6635616461296463,1,8.156797046675651,66.53333806065662,542.6989353986366,12159169,42399022303,4.564348191467836,0.6931471805599453,2,-1.1086626245216111
2558,100,2,1,95,189,1.72,1,1,3292,0,0,0,0,1,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,Recoleta,Entire apartment,"$2,558.00",78703,7.846980982138788,4,0.6931471805599453,0.4804530139182014,0,1,5.247024072160486,2,8.09925056179696,65.59785966276839,531.293501726355,10837264,35676273088,4.553876891600541,0,1,0.5423242908253617
2666,NA,2,1,94,39,0.35,6,1,3344,0,0,0,0,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,Nuñez,Entire apartment,"$2,666.00",79226,7.888334500738654,4,0.6931471805599453,0.4804530139182014,0,1,3.6888794541139363,1,8.114922974204593,65.8519748772735,534.3837038283305,11182336,37393731584,4.543294782270004,1.791759469228055,3,-1.0498221244986778
4581,100,3,1,97,178,1.69,1,1,3160,0,0,0,0,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,Recoleta,Entire apartment,"$4,581.00",79766,8.429672593886743,9,1.0986122886681098,1.206948960812582,0,1,5.187385805840755,2,8.058327306580958,64.93663897998832,523.2806910900293,9985600,31554496000,4.574710978503383,0,1,0.5247285289349821
1713,100,2,1,92,42,0.67,5,1,1871,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,Colegiales,Entire apartment,"$1,713.00",82623,7.44600149832412,4,0.6931471805599453,0.4804530139182014,0,1,3.7612001156935624,1,7.534228326274089,56.76459647243087,427.6774306721069,3500641,6549699311,4.5217885770490405,1.6094379124341003,3,-0.40047756659712525
4998,100,2,1,95,148,1.26,2,1,3517,1,0,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,Palermo,Entire apartment,"$4,998.00",84033,8.516793111394898,4,0.6931471805599453,0.4804530139182014,0,1,5.003946305945459,2,8.165363632473982,66.6731632505287,544.4106224678678,12369289,43502789413,4.553876891600541,0.6931471805599453,2,0.23111172096338664
4165,NA,4,1,NA,0,NA,7,3,NA,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Balvanera,Entire apartment,"$4,165.00",89857,8.334471554600944,16,1.3862943611198906,1.9218120556728056,1.0986122886681098,1,0,0,NA,NA,NA,NA,NA,NA,1.9459101490553132,3,NA
